Characteristic Name,Method Speciation,Sample Fraction,Parameter,Region,Publisher,Guideline Name,Status,Media Name,Ecosystem,Protection Level,Value,Unit,Notes,Look-up table ,Documentation/Spec Sheet Url,Citation,Reviewer,Last Reviewed
Zinc,,",Total",Zinc,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,30,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Zinc,,Dissolved,Zinc,"CA,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Acute," e^{0.833[ln(max(13.8, min(hardness, 250.5)))]+0.240[max(0.3, min(DOC, 17.3))]+0.526} ",ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=229,,MK,2020-10-09
Zinc,,Total,Zinc,US,USEPA,WQC,Approved,Water,Freshwater,Acute,e^{0.8473[ln(hardness)]+0.884},ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Selenium,,",Total",Selenium,"CA-BC, CA-AB",BC Gov,,Approved,Sediment,Freshwater,No Effect Level,2,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/bc_moe_se_wqg.pdf,,MK,2020-12-07
Zinc,,Total,Zinc,US,USEPA,WQC,Approved,Water,Freshwater,Chronic,e^{0.8473[ln(hardness)]+0.884},ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Zinc,,Total,Zinc,US,USEPA,WQC,Approved,Water,Marine,Acute,90,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
,,",Total","PCDDs, PCDFs","CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,0.85,ng/kg,Expressed on a toxic equivalency (TEQ) basis using a toxic equivalency factor (TEF) for fish.,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=175,,MK,2020-09-18
,,",Total","PCDDs, PCDFs","CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,21.5,ng/kg,Expressed on a toxic equivalency (TEQ) basis using a toxic equivalency factor (TEF) for fish.,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=175,,MK,2020-09-18
,,",Total","PCDDs, PCDFs","CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,0.85,ng/kg,Expressed on a toxic equivalency (TEQ) basis using a toxic equivalency factor (TEF) for fish; adopted from freshwater guidline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=175,,MK,2020-09-18
,,",Total","PCDDs, PCDFs","CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,21.5,ng/kg,Expressed on a toxic equivalency (TEQ) basis using a toxic equivalency factor (TEF) for fish; adopted from freshwater guidline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=175,,MK,2020-09-18
2-Methylnaphthalene,,",Total",2-Methylnaphthalene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,20.2,µg/kg,Adoption of marine guideline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=189,,MK,2020-09-18
2-Methylnaphthalene,,",Total",2-Methylnaphthalene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,201,µg/kg,Adoption of marine guideline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=189,,MK,2020-09-18
2-Methylnaphthalene,,",Total",2-Methylnaphthalene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,20.2,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=189,,MK,2020-09-18
2-Methylnaphthalene,,",Total",2-Methylnaphthalene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,201,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=189,,MK,2020-09-18
Acenaphthene,,",Total",Acenaphthene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,6.71,µg/kg,Adoption of marine guideline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=176,,MK,2020-09-18
Acenaphthene,,",Total",Acenaphthene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,88.9,µg/kg,Adoption of marine guideline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=176,,MK,2020-09-18
Acenaphthene,,",Total",Acenaphthene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,6.71,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=176,,MK,2020-09-18
Acenaphthene,,",Total",Acenaphthene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,88.9,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=176,,MK,2020-09-18
Acenaphthylene,,",Total",Acenaphthylene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,5.87,µg/kg,Adoption of marine guideline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=177,,MK,2020-09-18
Acenaphthylene,,",Total",Acenaphthylene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,128,µg/kg,Adoption of marine guideline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=177,,MK,2020-09-18
Acenaphthylene,,",Total",Acenaphthylene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,5.87,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=177,,MK,2020-09-18
Acenaphthylene,,",Total",Acenaphthylene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,128,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=177,,MK,2020-09-18
Anthracene,,",Total",Anthracene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,46.9,µg/kg,Adoption of marine guideline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=179,,MK,2020-09-18
Anthracene,,",Total",Anthracene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,245,µg/kg,Adoption of marine guideline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=179,,MK,2020-09-18
Anthracene,,",Total",Anthracene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,46.9,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=179,,MK,2020-09-18
Anthracene,,",Total",Anthracene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,245,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=179,,MK,2020-09-18
"2,2',3,3',4-Pentachlorobiphenyl",,",Total",Aroclor 1254,"CA-ON, CA, CA-BC,CA-MB",ON Gov,,,Sediment,Freshwater,Lowest Effect Level,60,µg/kg,, ,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=174,,MK,2020-09-18
"2,2',3,3',4-Pentachlorobiphenyl",,",Total",Aroclor 1254,"CA-ON, CA, CA-BC,CA-MB",ON Gov,,,Sediment,Freshwater,Severe Effect Level ,340,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=174,,MK,2020-09-18
"2,2',3,3',4-Pentachlorobiphenyl",,",Total",Aroclor 1254,"CA-ON, CA, CA-BC,CA-MB",ON Gov,,,Sediment,Marine,Lowest Effect Level,63.3,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=174,,MK,2020-09-18
"2,2',3,3',4-Pentachlorobiphenyl",,",Total",Aroclor 1254,"CA-ON, CA, CA-BC,CA-MB",ON Gov,,,Sediment,Marine,Severe Effect Level ,709,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=174,,MK,2020-09-18
Arsenic,,",Total",Arsenic,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,5900,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=9,,MK,2020-09-18
Arsenic,,",Total",Arsenic,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,17000,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=9,,MK,2020-09-18
Arsenic,,",Total",Arsenic,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,7240,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=9,,MK,2020-09-18
Arsenic,,",Total",Arsenic,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,41600,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=9,,MK,2020-09-18
Benz[a]anthracene,,",Total",Benz(a)anthracene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,31.7,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=180,,MK,2020-09-18
Benz[a]anthracene,,",Total",Benz(a)anthracene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,385,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=180,,MK,2020-09-18
Benz[a]anthracene,,",Total",Benz(a)anthracene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,74.8,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=180,,MK,2020-09-18
Benz[a]anthracene,,",Total",Benz(a)anthracene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,693,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=180,,MK,2020-09-18
Benzo[a]pyrene,,",Total",Benzo(a)pyrene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,31.9,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=181,,MK,2020-09-18
Benzo[a]pyrene,,",Total",Benzo(a)pyrene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,782,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=181,,MK,2020-09-18
Benzo[a]pyrene,,",Total",Benzo(a)pyrene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,88.8,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=181,,MK,2020-09-18
Benzo[a]pyrene,,",Total",Benzo(a)pyrene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,763,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=181,,MK,2020-09-18
Cadmium,,",Total",Cadmium,"CA,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,600,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=20,,MK,2020-09-18
Cadmium,,",Total",Cadmium,"CA,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,3500,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=20,,MK,2020-09-18
Cadmium,,",Total",Cadmium,"CA,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,700,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=20,,MK,2020-09-18
Cadmium,,",Total",Cadmium,"CA,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,4200,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=20,,MK,2020-09-18
Chlordane,,",Total",Chlordane,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,4.5,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=27,,MK,2020-09-18
Chlordane,,",Total",Chlordane,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,8.87,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=27,,MK,2020-09-18
Chlordane,,",Total",Chlordane,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,2.26,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=27,,MK,2020-09-18
Chlordane,,",Total",Chlordane,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,4.79,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=27,,MK,2020-09-18
Chromium,,",Total",Chromium,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,37300,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=61,,MK,2020-09-18
Chromium,,",Total",Chromium,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,90000,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=61,,MK,2020-09-18
Chromium,,",Total",Chromium,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,52300,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=61,,MK,2020-09-18
Chromium,,",Total",Chromium,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,160000,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=61,,MK,2020-09-18
Chrysene,,",Total",Chrysene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,57.1,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=184,,MK,2020-09-18
Chrysene,,",Total",Chrysene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,862,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=184,,MK,2020-09-18
Chrysene,,",Total",Chrysene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,108,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=184,,MK,2020-09-18
Chrysene,,",Total",Chrysene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,846,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=184,,MK,2020-09-18
Copper,,",Total",Copper,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,35700,µg/kg,,,http://st-ts.ccme.ca/en/index.html?factsheet=71,,MK,2020-09-18
Copper,,",Total",Copper,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,197000,µg/kg,,,http://st-ts.ccme.ca/en/index.html?factsheet=71,,MK,2020-09-18
Copper,,",Total",Copper,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,18700,µg/kg,,,http://st-ts.ccme.ca/en/index.html?factsheet=71,,MK,2020-09-18
Copper,,",Total",Copper,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,108000,µg/kg,,,http://st-ts.ccme.ca/en/index.html?factsheet=71,,MK,2020-09-18
"DDD, o,p'- and p,p'- isomers",,",Total",DDD,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,3.54,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=77,,MK,2020-09-18
"DDD, o,p'- and p,p'- isomers",,",Total",DDD,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,8.51,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=77,,MK,2020-09-18
"DDD, o,p'- and p,p'- isomers",,",Total",DDD,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,1.22,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=77,,MK,2020-09-18
"DDD, o,p'- and p,p'- isomers",,",Total",DDD,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,7.81,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=77,,MK,2020-09-18
"DDE, o,p'- and p,p'- isomers",,",Total",DDE,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,1.42,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=78,,MK,2020-09-18
"DDE, o,p'- and p,p'- isomers",,",Total",DDE,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,6.75,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=78,,MK,2020-09-18
"DDE, o,p'- and p,p'- isomers",,",Total",DDE,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,2.07,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=78,,MK,2020-09-18
"DDE, o,p'- and p,p'- isomers",,",Total",DDE,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,374,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=78,,MK,2020-09-18
"DDT, o,p'- and p,p'- isomers",,",Total",DDT,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,1.19,µg/kg,Adoption of marine guideline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=283,,MK,2020-09-18
"DDT, o,p'- and p,p'- isomers",,",Total",DDT,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,4.77,µg/kg,Adoption of marine guideline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=283,,MK,2020-09-18
"DDT, o,p'- and p,p'- isomers",,",Total",DDT,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,1.19,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=283,,MK,2020-09-18
"DDT, o,p'- and p,p'- isomers",,",Total",DDT,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,4.77,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=283,,MK,2020-09-18
"Dibenz[a,h]anthracene",,",Total","Dibenz(a,h)anthracene","CA,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,6.22,µg/kg,Adoption of marine guideline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=185,,MK,2020-09-18
"Dibenz[a,h]anthracene",,",Total","Dibenz(a,h)anthracene","CA,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,135,µg/kg,Adoption of marine guideline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=185,,MK,2020-09-18
"Dibenz[a,h]anthracene",,",Total","Dibenz(a,h)anthracene","CA,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,6.22,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=185,,MK,2020-09-18
"Dibenz[a,h]anthracene",,",Total","Dibenz(a,h)anthracene","CA,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,135,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=185,,MK,2020-09-18
Dieldrin,,",Total",Dieldrin,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,2.85,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=86,,MK,2020-09-18
Dieldrin,,",Total",Dieldrin,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,6.67,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=86,,MK,2020-09-18
Dieldrin,,",Total",Dieldrin,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,0.71,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=86,,MK,2020-09-18
Dieldrin,,",Total",Dieldrin,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,4.3,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=86,,MK,2020-09-18
Endrin,,",Total",Endrin,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,2.67,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=94,,MK,2020-09-18
Endrin,,",Total",Endrin,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,62.4,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=94,,MK,2020-09-18
Endrin,,",Total",Endrin,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,2.67,µg/kg,Adoption of freshwater guideline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=94,,MK,2020-09-18
Endrin,,",Total",Endrin,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,62.4,µg/kg,Adoption of freshwater guideline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=94,,MK,2020-09-18
Fluoranthene,,",Total",Fluoranthene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,111,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=186,,MK,2020-09-18
Fluoranthene,,",Total",Fluoranthene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,2355,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=186,,MK,2020-09-18
Fluoranthene,,",Total",Fluoranthene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,113,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=186,,MK,2020-09-18
Fluoranthene,,",Total",Fluoranthene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,1494,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=186,,MK,2020-09-18
Fluorene,,",Total",Fluorene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,21.2,µg/kg,Adoption of marine guideline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=187,,MK,2020-09-18
Fluorene,,",Total",Fluorene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,144,µg/kg,Adoption of marine guideline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=187,,MK,2020-09-18
Fluorene,,",Total",Fluorene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,21.2,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=187,,MK,2020-09-18
Fluorene,,",Total",Fluorene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,144,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=187,,MK,2020-09-18
Heptachlor,,",Total",Heptachlor,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,0.6,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=112,,MK,2020-09-18
Heptachlor,,",Total",Heptachlor,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,2.74,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=112,,MK,2020-09-18
Heptachlor,,",Total",Heptachlor,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,0.6,µg/kg,Adoption of freshwater guideline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=112,,MK,2020-09-18
Heptachlor,,",Total",Heptachlor,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,2.74,µg/kg,Adoption of freshwater guideline,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=112,,MK,2020-09-18
Lindane,,",Total",Hexachlorocyclohexane,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,0.94,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=125,,MK,2020-09-18
Lindane,,",Total",Hexachlorocyclohexane,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,1.38,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=125,,MK,2020-09-18
Lindane,,",Total",Hexachlorocyclohexane,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Threshold Effect Level ,0.32,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=125,,MK,2020-09-18
Lindane,,",Total",Hexachlorocyclohexane,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Marine,Probable Effect Level,0.99,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=125,,MK,2020-09-18
Lead,,",Total",Lead,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Threshold Effect Level ,35000,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=124,,MK,2020-09-18
Lead,,",Total",Lead,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,,Sediment,Freshwater,Probable Effect Level,91300,µg/kg,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=124,,MK,2020-09-18
