Characteristic Name,Method Speciation,Sample Fraction,Parameter,Region,Guideline Publisher,Guideline Name,Status,Media Name,Freshwater or Marine,Guideline Type,Value,Unit,Notes,Look-up table ,Spec Sheet Url,Last Reviewed,Reviewer
Heptachlor,,,Heptachlor,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.00042,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Heptachlor,,,Heptachlor,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.00007,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Heptachlor,,,Heptachlor,CA-QC,QC Gov,,Approved,Water,Marine,Acute,0.000027,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Heptaclor epoxide,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.00026,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Heptaclor epoxide,CA-QC,QC Gov,,Approved,Water,Marine,Acute,0.000027,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Hexachlorobutadiene,,,"Hexachlorobuta-1,3-diene",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.007,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Hexachlorobutadiene,,,"Hexachlorobuta-1,3-diene",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.001,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Hexachlorobutadiene,,,"Hexachlorobuta-1,3-diene",CA-QC,QC Gov,,Approved,Water,Marine,Chronic,0.0003,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Hexachlorocyclopentadiene,,,Hexachlorocyclopentadiene,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.00035,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Hexachlorocyclopentadiene,,,Hexachlorocyclopentadiene,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.000016,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Hexachlorocyclopentadiene,,,Hexachlorocyclopentadiene,CA-QC,QC Gov,,Approved,Water,Marine,Acute,0.0007,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Hexachlorocyclopentadiene,,,Hexachlorocyclopentadiene,CA-QC,QC Gov,,Approved,Water,Marine,Chronic,0.00007,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Hexachloroethane,,,Hexachloroethane,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.11,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Hexachloroethane,,,Hexachloroethane,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.013,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Hydrazine,,,Hydrazine,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0026,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Hydrogen peroxide,,,Hydrogen peroxide,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.092,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Hydrogen peroxide,,,Hydrogen peroxide,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.01,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Hydrogen sulfide,,,Hydrogen sulfide (un-ionized),CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.0032,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Hydrogen sulfide,,,Hydrogen sulfide (un-ionized),CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.00036,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Hydroquinone,,,Hydroquinone,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.0044,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Hydroquinone,,,Hydroquinone,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0022,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Ibuprofen,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.86,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Ibuprofen,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.096,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Imazethapyr,,,Imazethapyr,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,34,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Imazethapyr,,,Imazethapyr,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0081,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Imidacloprid,,,Imidacloprid (neonicotinoid),CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.0002,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Imidacloprid,,,Imidacloprid (neonicotinoid),CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0000083,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Iprodione,,,Iprodione,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.091,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Iprodione,,,Iprodione,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.004,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Iron,,,Iron,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,3.4,mg/L,"Before being compared to the chronic quality criterion, the surface water quality data must be corrected to reduce the fraction of non-bioavailable metal associated with particles. A correction factor of 0.5 is used on surface water data with a suspended solids concentration <10 mg / L. A correction factor of 0.33 is used on surface water data with a suspended solids concentration ≥ 10 mg / L.",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Iron,,,Iron,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,1.3,mg/L,"Before being compared to the chronic quality criterion, the surface water quality data must be corrected to reduce the fraction of non-bioavailable metal associated with particles. A correction factor of 0.5 is used on surface water data with a suspended solids concentration <10 mg / L. A correction factor of 0.33 is used on surface water data with a suspended solids concentration ≥ 10 mg / L.",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Isodecyl diphenyl phosphate,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.022,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Isodecyl diphenyl phosphate,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0017,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Isophorone,,,Isophorone,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,4.6,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Isophorone,,,Isophorone,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,1.3,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Isothizolones,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.01,mg/L,includes 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Isothizolones,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.001,mg/L,includes 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Lead,,Dissolved,Lead,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,if (hardness < 25) \{ {e^{1.273[ln(hardness)]-1.460} \over 1000} \} else \{ (1.46203-0.145712[ln(hardness)]) {e^{1.273[ln(hardness)]-1.460} \over 1000} \},mg/L,,Appendix 12,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Lead,,Dissolved,Lead,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,if (hardness < 25) \{ {e^{1.273[ln(hardness)]-4.705} \over 1000} \} else \{ (1.46203-0.145712[ln(hardness)]) {e^{1.273[ln(hardness)]-4.705} \over 1000} \},mg/L,,Appendix 12,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Lead,,Dissolved,Lead,CA-QC,QC Gov,,Approved,Water,Marine,Acute,0.20922,mg/L,Conversion by a factor of 0.951 from total metal guideline ,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Lead,,Dissolved,Lead,CA-QC,QC Gov,,Approved,Water,Marine,Chronic,0.0080835,mg/L,Conversion by a factor of 0.951 from total metal guideline ,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Lead,,Total,Lead,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,{ e^{1.273[ln(hardness)]-1.460} \over 1000 },mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Lead,,Total,Lead,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,{ e^{1.273[ln(hardness)]-4.705} \over 1000 },mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Lead,,Total,Lead,CA-QC,QC Gov,,Approved,Water,Marine,Acute,0.22,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Lead,,Total,Lead,CA-QC,QC Gov,,Approved,Water,Marine,Chronic,0.0085,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Lithium,,,Lithium,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.91,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Lithium,,,Lithium,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.44,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Malachite green,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.015,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Malachite green,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.00066,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Manganese,,,Manganese,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,e^{0.8784[ln(hardness)]+4.9820},µg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Manganese,,,Manganese,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,e^{0.8784[ln(hardness)]+3.5199},µg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
MCPB,,,MCPB,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.17,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
MCPB,,,MCPB,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0073,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Mecoprop,,,Mecoprop,"CA-QC,CA-AB",QC Gov,,Approved,Water,Freshwater,Acute,10,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Mecoprop,,,Mecoprop,"CA-QC,CA-AB",QC Gov,,Approved,Water,Freshwater,Chronic,0.013,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Mephosfolan,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.0033,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Mephosfolan,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.00037,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Mercury,,Total,Mercury,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.0016,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Mercury,,Total,Mercury,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.00091,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Mercury,,Total,Mercury,CA-QC,QC Gov,,Approved,Water,Marine,Acute,0.0021,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Mercury,,Total,Mercury,CA-QC,QC Gov,,Approved,Water,Marine,Chronic,0.0011,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Mercury,,Dissolved,Mercury,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.00136,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Mercury,,Dissolved,Mercury,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.000773,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Mercury,,Dissolved,Mercury,CA-QC,QC Gov,,Approved,Water,Marine,Acute,0.00178,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Mercury,,Dissolved,Mercury,CA-QC,QC Gov,,Approved,Water,Marine,Chronic,0.000935,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Methanol,,,Methanol,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1300,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Methanol,,,Methanol,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,590,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Methylene dithiocyanate,,,Methylene dithiocyanate,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.001,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Propylene oxide,,,Methyloxirane,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,2,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Propylene oxide,,,Methyloxirane,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.22,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Metolachlor,,,Metolachlor,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.11,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Metolachlor,,,Metolachlor,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0078,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Molybdenum,,,Molybdenum,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,29,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Molybdenum,,,Molybdenum,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,3.2,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
"Acetic acid, 2-(4-nonylphenoxy)-",,,Monocarboxylated nonylphenol,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.1,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
"Acetic acid, 2-(4-nonylphenoxy)-",,,Monocarboxylated nonylphenol,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.004,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Monocarboxylated octylphenol,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.25,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Monocarboxylated octylphenol,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.011,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Morpholine,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,11,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Morpholine,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.48,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Methyl tert-butyl ether,,,MTBE,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,210,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Methyl tert-butyl ether,,,MTBE,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,10,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Methyl tert-butyl ether,,,MTBE,CA-QC,QC Gov,,Approved,Water,Marine,Chronic,5,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Myclobutanil,,,Myclobutanil,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.24,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Myclobutanil,,,Myclobutanil,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.011,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,n-ethylaniline,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.016,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,n-ethylaniline,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0018,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Dimethylacetamide,,,"N,N-dimethylacetamide",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,37,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Dimethylacetamide,,,"N,N-dimethylacetamide",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,4.1,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Nanoethoxylated nonylphenol,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.28,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Nanoethoxylated nonylphenol,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.012,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Naphthalene,,,Naphthalene,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.1,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Naphthalene,,,Naphthalene,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.011,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Naproxen,,,Naproxen,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.86,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Naproxen,,,Naproxen,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.096,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Neonicotinoids,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.0002,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Neonicotinoids,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0000083,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Nitrate,as N,,Nitrates,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,3,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Nitrate,as N,,Nitrates,CA-QC,QC Gov,,Approved,Water,Marine,Chronic,45,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Nitrilotriacetic acid,,,Nitrilotriacetate,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,5,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Nitrite,as N,,Nitrites,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.06,mg/L,Varies with chloride concentrations,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Nitrite,as N,,Nitrites,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.02,mg/L,Varies with chloride concentrations,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Nitrobenzene,,,Nitrobenzene,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Nitrobenzene,,,Nitrobenzene,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.22,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
N-Nitrosodiphenylamine,,,"Nitrosoamine, diphenyl",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.39,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
N-Nitrosodiphenylamine,,,"Nitrosoamine, diphenyl",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.17,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Branched p-nonylphenol,,,"Nonylphenol, 4- branched",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.029,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Branched p-nonylphenol,,,"Nonylphenol, 4- branched",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.006,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,"Nonylphenol, n (OMP mix)",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.029,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,"Nonylphenol, n (OMP mix)",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.006,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Octylphenol,,,Octylphenol,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.0045,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Octylphenol,,,Octylphenol,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0002,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,"Oil ""bunker"" C (68553-00-4)",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.11,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,"Oil ""bunker"" C (68553-00-4)",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.011,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Oxalic acid,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,2.3,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Oxalic acid,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.25,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Oxycarboxin,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1.6,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
,,,Oxycarboxin,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.07,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Dissolved oxygen (DO),,Dissolved,"Oxygen, dissolved",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,4.0-8.0,mg/L,"Minima, ranges between 4-8 mg/L based on temperature of water",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Ozone,,,Ozone,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.00058,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Ozone,,,Ozone,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.000065,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Pentachlorobenzene,,,Pentachlorobenzene,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.011,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Pentachlorobenzene,,,Pentachlorobenzene,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.006,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Pentachloroethane,,,Pentachoroethane,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.33,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Pentachloroethane,,,Pentachoroethane,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.015,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Perfluorooctanoic acid,,,Perfluorooctanoic acid,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,7.7,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Perfluorooctanoic acid,,,Perfluorooctanoic acid,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.88,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Permethrin,,,Permethrin,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.000044,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Permethrin,,,Permethrin,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.000004,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Permethrin,,,Permethrin,CA-QC,QC Gov,,Approved,Water,Marine,Chronic,0.000001,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Tributyltin,,,"Pewter, tributyl",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.00092,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Tributyltin,,,"Pewter, tributyl",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.000008,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Tributyltin,,,"Pewter, tributyl",CA-QC,QC Gov,,Approved,Water,Marine,Acute,0.00074,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Tributyltin,,,"Pewter, tributyl",CA-QC,QC Gov,,Approved,Water,Marine,Chronic,0.000001,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Phenanthrene,,,Phenanthrene,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.0047,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Phenanthrene,,,Phenanthrene,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0014,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Phenanthrene,,,Phenanthrene,CA-QC,QC Gov,,Approved,Water,Marine,Acute,0.0077,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Phenanthrene,,,Phenanthrene,CA-QC,QC Gov,,Approved,Water,Marine,Chronic,0.0046,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Phenol,,,Phenol (hydroxybenzene),CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,3.4,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Phenol,,,Phenol (hydroxybenzene),CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.45,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Diphenyl ether,,,Phenoxybenzene,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.026,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Diphenyl ether,,,Phenoxybenzene,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0029,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Phenytoin,,,Phenytoin,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1.1,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Phenytoin,,,Phenytoin,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.12,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
Picloram,,,Picloram,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.29,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,
